Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,banglore,chennai,delhi,hyderabad,kolkata,mumbai
The Park Bangalore,3.9,Very Good,4187,5,Ulsoor,,,"7,567","2,254",1,0,0,0,0,0
"Keys Select by Lemon Tree Hotels, Whitefield, Bengaluru",4,Very Good,2201,4,Brookefield,,,"1,509",531,1,0,0,0,0,0
ITC Windsor - A Luxury Collection Hotel,4.4,Excellent,1315,5,Vasanth Nagar ,Bangalore Palace,2.4 km ,"9,900",,1,0,0,0,0,0
Lemon Tree Premier Ulsoor Lake Bangalore,4,Very Good,5089,5,Sivanchetti Gardens ,Ulsoor Lake,770 m ,"2,347",918,1,0,0,0,0,0
"Keys Select by Lemon Tree Hotels, Hosur Road, Bengaluru",4,Very Good,3290,4,Hosur road,,,"2,522","1,014",1,0,0,0,0,0
The Chancery Pavilion,3.8,Very Good,4764,5,Ashok Nagar ,MG Road,2.4 km ,"6,580","1,540",1,0,0,0,0,0
Radisson Blu Atria Bengaluru,4.3,Excellent,2372,5,Palace road,,,"10,200",,1,0,0,0,0,0
Lemon Tree Hotel Electronics City Bangalore,4.1,Very Good,2314,4,Electronic City,,,"2,598","1,016",1,0,0,0,0,0
"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru",4.3,Excellent,2076,5,Richmond road,,,"7,700",,1,0,0,0,0,0
Grand Mercure Bangalore - An Accor Brand,4.3,Excellent,426,5,Koramangala,,,"9,700",,1,0,0,0,0,0
Holiday Inn Express Bengaluru Yeshwantpur,3.7,Very Good,1602,3,Tumkur road,,,"3,680",480,1,0,0,0,0,0
goSTOPS Bengaluru - Rooms & Dorms,4.2,Very Good,500,,Gandhi Nagar,,,"1,098",269,1,0,0,0,0,0
Holiday Inn Bengaluru Racecourse,4,Very Good,2156,5,Gandhi Nagar,,,"7,249",,1,0,0,0,0,0
Fortune Select JP Cosmos - Member ITC Hotel Group,4,Very Good,2944,5,Vasanth Nagar ,Bangalore Palace,2.9 km ,"5,999",,1,0,0,0,0,0
Hyatt Centric MG Road Bangalore,4.2,Very Good,1162,5,Ulsoor,,,"6,250",,1,0,0,0,0,0
Ibis Bengaluru City Centre - An Accor Brand,3.9,Very Good,1805,4,Sampangi Rama Nagar ,Cubbon Park,1.8 km ,"4,299",,1,0,0,0,0,0
"The Fern Residency - Yeshwanthpur, Bengaluru",4,Very Good,1618,4,Tumkur road,,,"4,112",831,1,0,0,0,0,0
Ashraya International Hotel,3.7,Very Good,664,3,Infantry Road ,MG Road,2.3 km ,"2,792",564,1,0,0,0,0,0
Davanam Sarovar Portico Suites,4.3,Excellent,1865,4,Koramangala,,,"5,076","1,026",1,0,0,0,0,0
"Taj M G Road, Bengaluru",4.6,Excellent,1715,5,Sivanchetti Gardens ,MG Road,2.9 km ,"9,000",,1,0,0,0,0,0
Draper Startup House Koramangala | Dorms & Rooms,4.4,Excellent,222,,Koramangala,,,"1,113",294,1,0,0,0,0,0
The Lalit Ashok Bangalore,3.8,Very Good,2542,5,Seshadripuram,,,"6,698","1,354",1,0,0,0,0,0
"Vivanta Bengaluru, Residency Road",4.3,Excellent,1022,5,Residency Road ,MG Road,1.5 km ,"7,000",,1,0,0,0,0,0
ibis Bengaluru Hebbal - An Accor Brand,4.1,Very Good,237,4,Hebbal,,,"4,499",,1,0,0,0,0,0
Vividus,4.2,Very Good,1791,5,Gandhi Nagar,,,"6,547","2,156",1,0,0,0,0,0
Citrus Hotel Cunningham,4.1,Very Good,1869,5,Cunningham Road ,Indira Gandhi Musical Fountain Park,780 m ,"3,934","1,075",1,0,0,0,0,0
Citrus Classic Bengaluru,3.9,Very Good,527,4,Outer Ring Road,,,"3,575",977,1,0,0,0,0,0
"Taj Yeshwantpur, Bengaluru",4.6,Excellent,2138,5,Tumkur road,,,"7,500",,1,0,0,0,0,0
Lemon Tree Hotel Whitefield,4.1,Very Good,2327,4,Brookefield,,,"2,347",843,1,0,0,0,0,0
Golden Lotus Bangalore Boutique Suites | Rooms & Garden,3.8,Very Good,865,,Richmond road ,MG Road,3.0 km ,"2,660",754,1,0,0,0,0,0
Ramada Encore,4.4,Excellent,4271,4,Domlur Layout,,,"5,640","1,140",1,0,0,0,0,0
Ibis Bengaluru Hosur Road - An Accor Brand,3.9,Very Good,1381,3,Hosur road,,,"4,499",,1,0,0,0,0,0
"The Oberoi, Bengaluru",4.7,Excellent,1565,5,Ulsoor,,,"11,500",,1,0,0,0,0,0
Holiday Inn Express Bengaluru Whitefield ITPL,3.5,Very Good,1242,3,Whitefield,,,"3,399",,1,0,0,0,0,0
The Hosteller Bangalore Brigade Road,,,,,Ashok Nagar ,MG Road,2.2 km ,"1,330",315,1,0,0,0,0,0
Ginger Bangalore (IRR),3.6,Very Good,1639,3,Domlur Layout,,,"1,689",,1,0,0,0,0,0
Gokulam Grand Hotel & Spa,4.1,Very Good,1537,5,Mathikere,,,"6,409","1,295",1,0,0,0,0,0
Bloom Hotel - Airport Road Bengaluru,4.4,Excellent,191,3,Near Bangalore Airport ,Kempegowda Airport ,7.7 km ,"4,000",,1,0,0,0,0,0
Hotel Ramanashree Richmond Circle,3.8,Very Good,686,3,Sampangi Rama Nagar ,Cubbon Park,2.1 km ,"2,792",564,1,0,0,0,0,0
SRS Suites,4.4,Excellent,20,,Koramangala,,,"3,178",806,1,0,0,0,0,0
JP CORDIAL,3.7,Very Good,1750,3,Majestic,,,"2,726",638,1,0,0,0,0,0
Taj Bangalore,4.6,Excellent,1172,5,Near Bangalore Airport ,Kempegowda Airport ,900 m ,"11,750",,1,0,0,0,0,0
Radisson Bengaluru City Center,4.5,Excellent,1283,4,Ulsoor,,,"7,500",,1,0,0,0,0,0
The Pride Hotel Bangalore,3.8,Very Good,1526,4,Richmond road ,Cubbon Park,2.6 km ,"4,599",552,1,0,0,0,0,0
BloomSuites | Electronic City,4.1,Very Good,643,4,Electronic City,,,"5,000",,1,0,0,0,0,0
Southern Star Bangalore,3.9,Very Good,1320,4,Ashok Nagar ,MG Road,910 m ,"3,082",872,1,0,0,0,0,0
Royal Orchid Central Bangalore,3.7,Very Good,3836,4,Ulsoor ,MG Road,2.3 km ,"5,823",699,1,0,0,0,0,0
Shivas Galaxy Hotel,4.1,Very Good,963,4,Near Bangalore Airport ,Kempegowda Airport ,8.2 km ,"2,900",604,1,0,0,0,0,0
The Bouvice,4.2,Very Good,151,,Koramangala,,,"2,279",624,1,0,0,0,0,0
JW Marriott Bengaluru Prestige Golfshire Resort and Spa,4.7,Excellent,100,5,In Devanhalli ,Bangalore city centre,52.0 km ,"25,000",,1,0,0,0,0,0
La Sara Grand (Formerly Known as Nandhana Grand),4,Very Good,838,3,Koramangala,,,"2,939",752,1,0,0,0,0,0
Zone By The Park Infantry,3.9,Very Good,762,5,Infantry Road ,MG Road,1.9 km ,"4,252","1,021",1,0,0,0,0,0
The Chancery,3.9,Very Good,2155,4,Ashok Nagar ,MG Road,980 m ,"4,230",990,1,0,0,0,0,0
Nash Inn Electronic City,3.1,Good,321,,Electronic City,,,979,268,1,0,0,0,0,0
Radisson Blu Bengaluru Outer Ring Road,4.2,Very Good,1159,5,Outer Ring Road,,,"8,000",,1,0,0,0,0,0
"Ginger Bangalore, Whitefield",3.7,Very Good,1198,3,Brookefield,,,"1,884",,1,0,0,0,0,0
Hotel Royal Orchid Bangalore,3.9,Very Good,2185,5,Domlur Layout,,,"7,268",872,1,0,0,0,0,0
"The Hosteller Bangalore, Koramangala",4.3,Excellent,13,,Koramangala,,,"1,295",294,1,0,0,0,0,0
Silicon City Hotel,3.4,Good,695,4,Hosur road,,,"1,586",418,1,0,0,0,0,0
Country Inn And Suites By Radisson Bengaluru Hebbal,3.8,Very Good,1928,4,Hebbal,,,"3,500",,1,0,0,0,0,0
Octave Himalaya Monarch,4,Very Good,2624,3,Gandhi Nagar,,,"1,645",333,1,0,0,0,0,0
Greenpark Bengaluru,4.7,Excellent,62,4,Bannerghatta Main road,,,"6,345","1,350",1,0,0,0,0,0
ITC Gardenia - A Luxury Collection Hotel,4.5,Excellent,1389,5,Ashok Nagar ,MG Road,2.1 km ,"11,700",,1,0,0,0,0,0
The Continentti Whitefield,4,Very Good,1189,3,Brookefield,,,"2,791",564,1,0,0,0,0,0
The Monarch Luxur,3.9,Very Good,775,4,Infantry Road ,MG Road,1.6 km ,"3,723",752,1,0,0,0,0,0
Ballal Residency,3.9,Very Good,875,3,Residency Road ,MG Road,2.3 km ,"3,084",836,1,0,0,0,0,0
Hibernest Indiranagar,4.2,Very Good,142,,Indiranagar,,,"1,005",325,1,0,0,0,0,0
Fortune Park JP Celestial-Member ITC Hotel Group,3.8,Very Good,1876,4,Gandhi Nagar,,,"5,292",,1,0,0,0,0,0
"Click Hotel Bangalore, International Airport",4.2,Very Good,438,3,Near Bangalore Airport ,Kempegowda Airport ,8.0 km ,"3,510",421,1,0,0,0,0,0
Omatra Hotel HSR,3.4,Good,91,,Outer Ring Road,,,"2,194",539,1,0,0,0,0,0
Svenska Design Hotel,3.3,Good,627,,Electronic City,,,"1,999",642,1,0,0,0,0,0
Peninsula Suites,3.9,Very Good,1341,4,Whitefield,,,"2,264",306,1,0,0,0,0,0
Iris Hotel & Spa Bangalore,4.1,Very Good,1016,4,Residency Road ,MG Road,2.1 km ,"5,330","1,247",1,0,0,0,0,0
SM Royal Stay Hotel near Intl Airport Bangalore,4.2,Very Good,47,3,Near Bangalore Airport ,Kempegowda Airport ,5.0 km ,"1,692",360,1,0,0,0,0,0
Halcyon Residences,3.8,Very Good,613,,Koramangala,,,"2,759",755,1,0,0,0,0,0
Shangri-La Bengaluru,4.5,Excellent,584,5,Palace road ,Bangalore Palace,1.9 km ,"13,500",,1,0,0,0,0,0
The Leela Bhartiya City Bengaluru,4.6,Excellent,213,5,Tirumanahalli,,,"11,000",,1,0,0,0,0,0
"Holiday Inn Express & Suites, OMR Bengaluru",4.1,Very Good,526,4,Whitefield,,,"3,999",,1,0,0,0,0,0
Fairfield By Marriott Bengaluru Rajajinagar,3.9,Very Good,883,4,Rajajinagar,,,"5,400",,1,0,0,0,0,0
The Zuri Whitefield,4.3,Excellent,662,5,Whitefield,,,"6,501",780,1,0,0,0,0,0
MAYBAACH HOTELS,4.1,Very Good,79,3,Marathahalli,,,"2,820",660,1,0,0,0,0,0
Regenta Place Bangalore by Royal Orchid Hotels Limited,3.5,Very Good,923,4,Shivaji Nagar ,MG Road,2.2 km ,"2,848",342,1,0,0,0,0,0
Icon Business Hotel by Bhagini,3.6,Very Good,1024,3,HAL old airport road,,,"2,300",465,1,0,0,0,0,0
Sterlings Mac Hotel & Suites,4.1,Very Good,732,5,HAL old airport road,,,"6,768","1,368",1,0,0,0,0,0
Nexstay Kites Inn,4.3,Excellent,36,3,Hosur road,,,"2,799",,1,0,0,0,0,0
The Leela Palace Bengaluru,4.5,Excellent,1048,5,HAL old airport road,,,"16,500",,1,0,0,0,0,0
Omatra Infantry Road | Rooms in a Homestay,3.8,Very Good,319,,Infantry Road ,MG Road,1.4 km ,"2,098",554,1,0,0,0,0,0
Bloom Hotel HSR Layout Sector 3,3.9,Very Good,24,3,HSR Layout,,,"5,500",,1,0,0,0,0,0
NOOR EMPIRE INTERNATIONAL,3.7,Very Good,1552,3,Koramangala,,,"2,776",752,1,0,0,0,0,0
Attide Biz,3.5,Very Good,468,3,Hebbal,,,"2,835",693,1,0,0,0,0,0
Stayhome Classic,4.3,Excellent,285,,Bilekahalli,,,"2,345",642,1,0,0,0,0,0
DoubleTree Suites by Hilton,4.3,Excellent,849,5,Outer Ring Road,,,"9,500",,1,0,0,0,0,0
Bloomrooms @ Indiranagar,4.1,Very Good,874,3,Indiranagar,,,"4,300",,1,0,0,0,0,0
RG Royal Hotel,4.2,Very Good,875,4,Yeshwanthpur,,,"3,666",741,1,0,0,0,0,0
Four Seasons Hotel Bengaluru at Embassy One,4.8,Excellent,302,5,Ganganagar ,Palace Grounds,990 m ,"14,875",,1,0,0,0,0,0
Ramee Strand inn,3,Good,348,3,Hosur road,,,"1,505",396,1,0,0,0,0,0
Shravanthi Sarovar Portico JP Nagar,3.6,Very Good,139,4,Outer Ring Road,,,"3,977",804,1,0,0,0,0,0
"Vivanta Bengaluru, Whitefield",4.3,Excellent,959,5,Whitefield,,,"7,500",,1,0,0,0,0,0
Melange Astris,4.1,Very Good,1006,,Richmond road ,Cubbon Park,2.5 km ,"4,300",969,1,0,0,0,0,0
Octave Church Inn,3.5,Very Good,712,3,Church Street ,MG Road,94 m ,"1,669",337,1,0,0,0,0,0
Mastiff Infantry Bengaluru,4,Very Good,221,3,Infantry Road ,MG Road,1.8 km ,"1,865",569,1,0,0,0,0,0
"Taj Club House, Chennai",4.3,Excellent,2000,5,Royapettah,,,"6,390",767,0,1,0,0,0,0
The Park Chennai,3.7,Very Good,8366,5,Near US Consulate,,,"7,198","2,167",0,1,0,0,0,0
"Taj Fisherman's Cove Resort & Spa, Chennai",4.3,Excellent,1856,5,Covelong ,city centre,36.3 km ,"12,555","2,260",0,1,0,0,0,0
Hotel Savera,4,Very Good,7458,4,Mylapore,,,"4,612","1,091",0,1,0,0,0,0
Ibis Chennai OMR - An Accor Brand,4.1,Very Good,2545,4,Sholinganallur,,,"3,345",,0,1,0,0,0,0
"Taj Coromandel, Chennai",4.5,Excellent,784,5,Near US Consulate,,,"11,200",,0,1,0,0,0,0
Courtyard by Marriott Chennai,4.2,Very Good,1208,4,Mount road,,,"7,500",,0,1,0,0,0,0
Radisson Blu Hotel Chennai City Centre,4.3,Excellent,3991,5,Egmore,,,"9,443",,0,1,0,0,0,0
FIRST INN HOTELS,3.8,Very Good,214,,Perungudi,,,"2,907",594,0,1,0,0,0,0
Ibis Chennai City Centre - An Accor Brand,3.9,Very Good,2213,3,Mount road ,Thousand Lights Mosque,540 m ,"5,299",,0,1,0,0,0,0
Rohaan Inns - UPAR Ashok Nagar,4.1,Very Good,179,,Ashok Nagar ,Chennai Airport,9.4 km ,"1,771",495,0,1,0,0,0,0
"Vivanta Chennai, IT Expressway",4.4,Excellent,1601,5,Sholinganallur,,,"7,360",,0,1,0,0,0,0
"Taj Connemara, Chennai",4.5,Excellent,1215,5,Chennai,,,"7,600","1,368",0,1,0,0,0,0
Four Points by Sheraton Chennai OMR,4.1,Very Good,2314,4,Sholinganallur,,,"5,859","1,197",0,1,0,0,0,0
Ramada Plaza by Wyndham,4.5,Excellent,3185,5,Saidapet ,Chennai Airport,7.6 km ,"7,533","2,554",0,1,0,0,0,0
Citadines OMRChennai,4.4,Excellent,1714,5,Sholinganallur,,,"11,340",,0,1,0,0,0,0
The Leela Palace Chennai,4.5,Excellent,1261,5,Raja Annamalai Puram,,,"10,800",,0,1,0,0,0,0
"The Raintree, Annasalai",4.4,Excellent,2376,5,Mount road,,,"7,299",,0,1,0,0,0,0
Hablis,4.2,Very Good,4529,4,Mount road ,Chennai Airport,5.9 km ,"5,271","1,124",0,1,0,0,0,0
Novotel Chennai Chamiers Road,4.3,Excellent,1002,5,Nandanam,,,"7,391",,0,1,0,0,0,0
The Residency,4.2,Very Good,1714,4,T Nagar,,,"5,336","1,455",0,1,0,0,0,0
The Residency Towers,4.3,Excellent,1151,5,T Nagar,,,"6,696","1,826",0,1,0,0,0,0
Novotel Chennai OMR - An Accor Brand,4.3,Excellent,1001,5,Sholinganallur,,,"6,134",,0,1,0,0,0,0
Hotel Southern Comfort ( Chennai Airport ),3.6,Very Good,2962,3,Chennai Airport ,Chennai Airport,1.3 km ,"2,870",757,0,1,0,0,0,0
Lemon Tree Hotel Chennai,3.6,Very Good,3059,4,Saidapet ,Chennai Airport,7.8 km ,"2,487",903,0,1,0,0,0,0
The Pride Hotel Chennai,3.6,Very Good,1911,4,Kilpauk,,,"3,399",408,0,1,0,0,0,0
"Ginger Chennai, Vadapalani",3.5,Very Good,2282,3,Vadapalani,,,"2,699",,0,1,0,0,0,0
UPAR Nungambakkam,4.1,Very Good,281,,Nungambakkam,,,"2,716",633,0,1,0,0,0,0
Ginger Chennai,3.5,Very Good,2071,3,Tharamani,,,"3,299",,0,1,0,0,0,0
Holiday Inn Express Chennai OMR Thoraipakkam,3.5,Very Good,2087,4,Thoraipakkam,,,"3,680",480,0,1,0,0,0,0
Raj Park Chennai,3.6,Very Good,1158,4,Teynampet,,,"3,953",935,0,1,0,0,0,0
"UPAR Uthandi, ECR",3.6,Very Good,94,,East Coast Road (ECR),,,"1,317",397,0,1,0,0,0,0
Hotel Abu Palace,3.4,Good,1592,4,Purasawalkam ,Chennai Egmore Railway Station,920 m ,"2,947",789,0,1,0,0,0,0
Ramada Chennai Egmore,3.9,Very Good,4600,4,Egmore,,,"4,557","1,078",0,1,0,0,0,0
Hyatt Regency Chennai,4.1,Very Good,1152,5,Teynampet,,,"7,499",,0,1,0,0,0,0
"Lemon Tree Hotel, Shimona, Chennai",4,Very Good,1288,4,Manapakkam ,Chennai Airport,9.0 km ,"2,819","1,115",0,1,0,0,0,0
Trident Chennai,4.5,Excellent,1140,5,Chennai Airport ,Chennai Airport,3.0 km ,"12,750",,0,1,0,0,0,0
Holiday Inn Chennai OMR IT Expressway,4.2,Very Good,1676,5,Thiruvanmiyur,,,"7,499",,0,1,0,0,0,0
Ibis Chennai SIPCOT - An Accor Brand,4,Very Good,1479,3,Egatoor ,city centre,31.2 km ,"3,299",,0,1,0,0,0,0
The Accord Metropolitan,4.1,Very Good,2220,5,T Nagar,,,"6,500","1,957",0,1,0,0,0,0
Park Hyatt Chennai,4.5,Excellent,525,5,Guindy ,Chennai Airport,7.8 km ,"9,000",,0,1,0,0,0,0
OYO Home Fantasea Uthandi Near Juhu Beach,1.9,Poor,7,,Uthandi,,,769,40,0,1,0,0,0,0
Gokulam Park Sabari - Siruseri SIPCOT,4.2,Very Good,1271,4,Navallur,,,"5,719","1,244",0,1,0,0,0,0
BOULEVARD BY DESIGN HOTEL,4.1,Very Good,821,4,Velachery ,Chennai Airport,8.7 km ,"4,860","1,026",0,1,0,0,0,0
Fairfield by Marriott Chennai OMR,4.2,Very Good,983,4,Sholinganallur,,,"4,850",,0,1,0,0,0,0
ITC Grand Chola - A Luxury Collection Hotel,4.4,Excellent,2603,5,Guindy ,Chennai Airport,7.8 km ,"12,500",,0,1,0,0,0,0
The Ambassador Pallava,4,Very Good,1926,4,Egmore,,,"8,079","2,432",0,1,0,0,0,0
Le Royal Meridien,3.9,Very Good,1968,5,Mount road ,Chennai Airport,5.6 km ,"9,000",,0,1,0,0,0,0
"Taj Wellington Mews, Chennai",4.7,Excellent,327,5,Tharamani,,,"10,560",,0,1,0,0,0,0
Novotel Chennai Sipcot - An Accor Brand,4.3,Excellent,855,5,Egatoor ,city centre,31.6 km ,"8,138",,0,1,0,0,0,0
The Mount Manor,3.4,Good,874,3,Chennai Airport ,Chennai Airport,3.8 km ,"2,350",634,0,1,0,0,0,0
Green Park Chennai,4.2,Very Good,1503,5,Vadapalani,,,"6,696","1,368",0,1,0,0,0,0
Mango Hill central Chennai,3.2,Good,196,3,T Nagar,,,"3,314",677,0,1,0,0,0,0
Venture Park,3.5,Very Good,1192,3,Thoraipakkam,,,"1,315",339,0,1,0,0,0,0
Grand Chennai by GRT Hotels,4.5,Excellent,1535,5,T Nagar,,,"8,550","1,710",0,1,0,0,0,0
"Season 4 Residences, Nungambakkam",3.7,Very Good,101,,Near US Consulate,,,"2,591",620,0,1,0,0,0,0
Ginger Chennai OMR,4.5,Excellent,161,3,Navallur,,,"2,479",,0,1,0,0,0,0
Hotel Pandian,3.5,Very Good,2322,2,Egmore,,,"1,595",342,0,1,0,0,0,0
Hilton Chennai,4.3,Excellent,811,5,Guindy ,Chennai Airport,8.2 km ,"11,000",,0,1,0,0,0,0
FORTEL,3.5,Very Good,502,,Egmore,,,"3,118",703,0,1,0,0,0,0
Royal Park,3.1,Good,10,,Near Marina Beach,,,"1,351",407,0,1,0,0,0,0
Fairfield by Marriott Chennai Mahindra World City,4.2,Very Good,442,4,Mahindra World City ,city centre,45.7 km ,"5,533","1,130",0,1,0,0,0,0
Crossway Parklane Airport Hotel,3.2,Good,517,3,Meenambakkam ,Chennai Airport,2.9 km ,"2,544",574,0,1,0,0,0,0
Hotel Ashok Residency,3.7,Very Good,559,3,Porur,,,"4,290",933,0,1,0,0,0,0
Hotel Greens Gate (Near Central station),3.6,Very Good,1869,,Poongavanapuram,,,"1,887",498,0,1,0,0,0,0
HOTEL RANJITH,4,Very Good,159,3,Near US Consulate,,,"5,208","1,064",0,1,0,0,0,0
"Welcomhotel by ITC Hotels, GST Road, Chennai",4.2,Very Good,510,5,Singaperumal Koil ,city centre,43.6 km ,"7,200",,0,1,0,0,0,0
Regenta Central RS Chennai SIPCOT OMR,4.4,Excellent,740,4,Egatoor ,city centre,31.6 km ,"3,824",459,0,1,0,0,0,0
CRESCENT PARK (near US Consulate Chennai),4.1,Very Good,284,3,Nungambakkam,,,"2,307",471,0,1,0,0,0,0
Harrisons,4,Very Good,604,3,Nungambakkam,,,"3,906",798,0,1,0,0,0,0
MGM Beach Resorts (15Kms before Mahabalipuram),3.9,Very Good,2900,4,Muttukadu ,city centre,31.8 km ,"25,110","7,812",0,1,0,0,0,0
PARK PLAZA CHENNAI OMR,4,Very Good,198,5,Thoraipakkam,,,"4,200",,0,1,0,0,0,0
Feathers A Radha Hotel Chennai,4.3,Excellent,447,5,Manapakkam ,Chennai Airport,9.7 km ,"8,999",,0,1,0,0,0,0
V7 HOTEL,3.2,Good,1120,3,Porur,,,"3,667",896,0,1,0,0,0,0
"Keys Select by Lemon Tree Hotels, Katti-Ma, Chennai",3.7,Very Good,400,3,Adyar,,,"2,240",796,0,1,0,0,0,0
Hostel Gandhi,4.2,Very Good,109,,Saidapet ,Chennai Airport,8.0 km ,"1,307",107,0,1,0,0,0,0
Grand Cascade,3.6,Very Good,1402,3,Poongavanapuram ,Chennai Central Railway Station,730 m ,"2,052",502,0,1,0,0,0,0
Days Hotel Chennai OMR,4.3,Excellent,392,4,Kelambakkam ,city centre,35.3 km ,"2,767",565,0,1,0,0,0,0
PP Residency,4,Very Good,421,,Chennai ,city centre,35.0 km ,"2,768",713,0,1,0,0,0,0
Highnest | Rooms & Caretaker,3.5,Very Good,52,,Kattankolatur R.F. ,city centre,40.6 km ,"2,815",633,0,1,0,0,0,0
Grand Elegant,3.9,Very Good,1064,,Poongavanapuram,,,"2,046",418,0,1,0,0,0,0
Accord Chrome,4.5,Excellent,217,,Chromepet ,Chennai Airport,5.4 km ,"6,975","1,425",0,1,0,0,0,0
AVENUE HOTEL -CHENNAI AIRPORT,3.6,Very Good,1338,,Pallavaram ,Chennai Airport,3.1 km ,"2,671",546,0,1,0,0,0,0
La Woods hotel (1Km from us consulate chennai),4,Very Good,323,,Mount road,,,"3,360",403,0,1,0,0,0,0
E Hotel,4.1,Very Good,590,4,Royapettah,,,"6,749",810,0,1,0,0,0,0
Hotel Bakya Slot - Maraimalai Nagar,3.6,Very Good,210,3,Maraimalai Nagar ,city centre,37.4 km ,"2,046",484,0,1,0,0,0,0
Pharos Hotels,4.3,Excellent,73,3,Nungambakkam,,,"4,650","1,100",0,1,0,0,0,0
Al Noor Palace,4,Very Good,290,,Triplicane ,Marina Beach,1.8 km ,"2,093",428,0,1,0,0,0,0
JS Five two By twinstar hotel,4,Very Good,68,,Raja Annamalai Puram,,,"3,794",976,0,1,0,0,0,0
HOTEL HALEZ,4.3,Excellent,490,,Sholinganallur,,,"3,800",456,0,1,0,0,0,0
Essentia Premier Hotel,4.1,Very Good,63,4,Thoraipakkam,,,"3,989",479,0,1,0,0,0,0
ILARA Hotel & Spa,4,Very Good,785,3,Navallur,,,"2,650",576,0,1,0,0,0,0
The Centrepoint OMR,3.8,Very Good,886,3,Sholinganallur,,,"3,322",723,0,1,0,0,0,0
"KLASE HOTELS, GUINDY",3.3,Good,260,3,Mount road ,Chennai Airport,8.4 km ,"2,914",768,0,1,0,0,0,0
Just Guest House,4,Very Good,745,,Pazhavanthangal ,Chennai Airport,4.0 km ,"3,149",811,0,1,0,0,0,0
GRAND OLIVER,3.6,Very Good,490,,Poongavanapuram,,,"1,243",302,0,1,0,0,0,0
Pebbles Serviced Apartments,4.2,Very Good,179,,T Nagar,,,"2,349",547,0,1,0,0,0,0
Mercure Chennai Sriperumbudur - An Accor Brand,4.2,Very Good,70,5,Oragadam ,city centre,43.0 km ,"5,900",,0,1,0,0,0,0
ZAITH RESIDENCY,3.4,Good,243,,Thousand Lights,,,"2,355",635,0,1,0,0,0,0
Mount Kailash Suites,4,Very Good,422,3,Mount road ,Chennai Airport,9.2 km ,"2,516",615,0,1,0,0,0,0
The Mount City near US Consulate,3.6,Very Good,395,,Triplicane ,Marina Beach,2.9 km ,"1,748",460,0,1,0,0,0,0
"Country Inn and Suites by Radisson, Sahibabad",4.2,Very Good,15697,5,In Ghaziabad ,Delhi city centre,30.0 km ,"6,249",,0,0,1,0,0,0
Radisson Blu Kaushambi Delhi NCR,4,Very Good,1826,5,In Ghaziabad ,Delhi city centre,28.0 km ,"5,039",605,0,0,1,0,0,0
The Ashok,3.8,Very Good,5694,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),9.8 km ,"6,288",,0,0,1,0,0,0
Pride Plaza Hotel Aerocity New Delhi,4,Very Good,7275,5,Aerocity ,Indira Gandhi International Airport,4.0 km ,"6,499",780,0,0,1,0,0,0
"Golden Tulip Vasundhara Hotel & Suites, Delhi NCR",3.9,Very Good,2057,4,In Ghaziabad ,Delhi city centre,31.0 km ,"3,386",871,0,0,1,0,0,0
"Welcomhotel by ITC Hotels, Dwarka, New Delhi",4,Very Good,9348,5,Sector 10 Dwarka,,,"6,223",,0,0,1,0,0,0
Holiday Inn New Delhi International Airport,4.2,Very Good,5734,5,Aerocity ,Indira Gandhi International Airport,3.8 km ,"6,999",,0,0,1,0,0,0
