Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,banglore,chennai,delhi,hyderabad,kolkata,mumbai
Novotel New Delhi International Airport- An Accor hotels brand,4.1,Very Good,4534,5,Aerocity ,Indira Gandhi International Airport,4.2 km ,"7,250",,0,0,1,0,0,0
The Suryaa New Delhi,4.1,Very Good,4314,5,New Friends Colony,,,"5,348","1,092",0,0,1,0,0,0
The Hosteller Delhi | Private Rooms & Dorms,4.3,Excellent,795,,New Friends Colony,,,"2,228",503,0,0,1,0,0,0
The LaLiT New Delhi,4.1,Very Good,7908,5,Connaught Place,,,"9,040","2,430",0,0,1,0,0,0
Radisson Blu Plaza Delhi Airport,4.3,Excellent,7275,5,Mahipalpur ,Indira Gandhi International Airport,5.2 km ,"4,500",765,0,0,1,0,0,0
Roseate House New Delhi,4.4,Excellent,9130,5,Aerocity ,Indira Gandhi International Airport,3.5 km ,"9,649","1,737",0,0,1,0,0,0
Lemon Tree Hotel East Delhi Mall Kaushambi,3.9,Very Good,1550,4,In Ghaziabad ,Delhi city centre,24.0 km ,"2,073",752,0,0,1,0,0,0
YWCA OF DELHI BLUE TRIANGLE FAMILY HOSTEL,3.9,Very Good,505,,Connaught Place ,Metro Museum,690 m ,"2,620",770,0,0,1,0,0,0
Hotel Trans International,4.2,Very Good,6933,4,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,274",465,0,0,1,0,0,0
The Leela Ambience Convention Hotel Delhi,4.4,Excellent,3845,5,East Delhi,,,"7,499",,0,0,1,0,0,0
Jaypee Vasant Continental Hotel,4,Very Good,1696,5,Vasant Vihar ,T1 - Delhi Airport (IGI Airport),7.6 km ,"5,999",,0,0,1,0,0,0
YWCA INTERNATIONAL GUEST HOUSE,3.8,Very Good,412,,Connaught Place ,India Gate,3.0 km ,"2,408",648,0,0,1,0,0,0
Holiday Inn New Delhi Mayur Vihar,4.1,Very Good,2935,5,East Delhi,,,"6,249",,0,0,1,0,0,0
Lemon Tree Premier Delhi Airport,3.9,Very Good,9726,4,Aerocity ,Indira Gandhi International Airport,4.1 km ,"4,464","1,478",0,0,1,0,0,0
Radisson Blu Marina Hotel Connaught Place,3.8,Very Good,2642,5,Connaught Place,,,"8,000",,0,0,1,0,0,0
The Metropolitan Hotel and Spa,4.1,Very Good,4049,5,Connaught Place,,,"7,500",,0,0,1,0,0,0
The Grand New Delhi,3.8,Very Good,1885,5,Vasant Kunj ,Indira Gandhi International Airport,7.7 km ,"12,899","2,322",0,0,1,0,0,0
Crowne Plaza Mayur Vihar,4.3,Excellent,3398,5,East Delhi,,,"8,649",,0,0,1,0,0,0
Hotel Smart Plaza,4.3,Excellent,4031,3,Mahipalpur ,Indira Gandhi International Airport,4.4 km ,"1,525",423,0,0,1,0,0,0
Hotel Aero Star,4.3,Excellent,9760,4,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505,0,0,1,0,0,0
Golden Bliss Near IGI Airport Mahipalpur,3,Good,108,,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"2,794",811,0,0,1,0,0,0
Hotel International Inn,4.1,Very Good,12005,3,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,199",537,0,0,1,0,0,0
The Park New Delhi,3.5,Very Good,6779,5,Connaught Place ,Connaught Place,730 m ,"7,905","2,125",0,0,1,0,0,0
ibis New Delhi Aerocity - An Accor Brand,3.7,Very Good,5538,4,Aerocity ,Indira Gandhi International Airport,4.4 km ,"5,100",,0,0,1,0,0,0
goSTOPS Delhi - Rooms & Dorms,4.2,Very Good,1076,,Chandni Chowk ,Red Fort,1.8 km ,"1,481",384,0,0,1,0,0,0
Hotel The Royal Plaza,3.4,Good,10365,4,Connaught Place ,India Gate,2.3 km ,"7,379",885,0,0,1,0,0,0
"Taj Mahal, New Delhi",4.5,Excellent,991,5,Man Singh Road Area ,India Gate,1.2 km ,"12,000",,0,0,1,0,0,0
Hotel Shanti Palace (Mahipalpur),3.7,Very Good,2308,4,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"2,604",532,0,0,1,0,0,0
Aloft New Delhi Aerocity,4.2,Very Good,2906,5,Aerocity ,Indira Gandhi International Airport,4.1 km ,"6,950",,0,0,1,0,0,0
Radisson Blu Hotel New Delhi Dwarka,3.7,Very Good,7268,5,Sector 13 Dwarka,,,"5,953",714,0,0,1,0,0,0
Hotel Star,4.3,Excellent,1202,4,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505,0,0,1,0,0,0
Pullman New Delhi International Airport- An Accor Luxury Brand,4.3,Excellent,2197,5,Aerocity ,Indira Gandhi International Airport,4.2 km ,"10,500",,0,0,1,0,0,0
Hotel Aman Continental @ Paharganj,4.3,Excellent,5760,3,Paharganj ,New Delhi Railway Station,390 m ,"2,045",620,0,0,1,0,0,0
"Taj Palace, New Delhi",4.5,Excellent,7913,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),7.0 km ,"11,500",,0,0,1,0,0,0
Red Fox Hotel Delhi Airport,3.9,Very Good,7509,3,Aerocity ,Indira Gandhi International Airport,4.2 km ,"2,903","1,054",0,0,1,0,0,0
"Vivanta New Delhi, Dwarka",4.3,Excellent,7707,5,Sector 21 Dwarka,,,"7,100",,0,0,1,0,0,0
The Gold Regency @ Paharganj,4.3,Excellent,2949,3,Paharganj ,New Delhi Railway Station,310 m ,"2,044",620,0,0,1,0,0,0
Red Brick | Home by Earthaa Escapes,4.2,Very Good,132,,Malviya Nagar,,,"2,548",696,0,0,1,0,0,0
JW Marriott Hotel New Delhi Aerocity,4.5,Excellent,1308,5,Aerocity ,Indira Gandhi International Airport,4.1 km ,"12,800",,0,0,1,0,0,0
Crowne Plaza Rohini,4.3,Excellent,2702,5,Rohini,,,"6,498",,0,0,1,0,0,0
"Park Plaza, Shahdara",3.7,Very Good,3422,5,East Delhi,,,"3,825",,0,0,1,0,0,0
Andaz Delhi - A concept by Hyatt,4.3,Excellent,1272,5,Aerocity ,Indira Gandhi International Airport,3.9 km ,"11,000",,0,0,1,0,0,0
Homestay AC Dormitory at Kashmiri Gate,3.9,Very Good,256,,North Delhi,,,735,229,0,0,1,0,0,0
Zone Connect Saket Delhi,3.9,Very Good,390,5,Saket,,,"5,900","1,205",0,0,1,0,0,0
Crowne Plaza Okhla,4.3,Excellent,2802,5,Okhla Industrial Area,,,"6,300",,0,0,1,0,0,0
Taurus Sarovar Portico,3.1,Good,845,4,Mahipalpur ,Indira Gandhi International Airport,4.0 km ,"2,976",608,0,0,1,0,0,0
The Leela Palace New Delhi,4.5,Excellent,449,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),8.5 km ,"17,000",,0,0,1,0,0,0
Shangri-La Eros New Delhi,4.4,Excellent,1832,5,Connaught Place ,India Gate,2.3 km ,"12,500",,0,0,1,0,0,0
Sheraton New Delhi,4.5,Excellent,1706,5,Saket,,,"9,500",,0,0,1,0,0,0
"Hyatt Centric Janakpuri, New Delhi",3.6,Very Good,850,5,Janakpuri,,,"5,599",,0,0,1,0,0,0
ITC Maurya - A Luxury Collection Hotel,4.3,Excellent,2009,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),7.4 km ,"11,000",,0,0,1,0,0,0
Le Meridien Delhi,4.2,Very Good,1622,5,Connaught Place ,India Gate,2.1 km ,"12,150",,0,0,1,0,0,0
"Eros Hotel New Delhi ,Nehru Place",4,Very Good,2733,5,Near Nehru Place,,,"4,999",,0,0,1,0,0,0
Jaypee Siddharth Hotel,3.7,Very Good,2052,5,Pusa road ,BLK Hospital,590 m ,"6,299",,0,0,1,0,0,0
Hotel Vertu,4,Very Good,3227,4,Mahipalpur ,Indira Gandhi International Airport,4.2 km ,"2,525",631,0,0,1,0,0,0
"Le ROI, Delhi@ New Delhi Railway Station",4,Very Good,4625,3,Paharganj,,,"2,474",633,0,0,1,0,0,0
Ashiana Hotel @ New Delhi Railway Station,3.7,Very Good,176,,Paharganj ,New Delhi Railway Station,880 m ,883,307,0,0,1,0,0,0
The Roseate,4.3,Excellent,2371,5,Mahipalpur ,Indira Gandhi International Airport,8.0 km ,"12,024","2,164",0,0,1,0,0,0
"The Connaught, New Delhi - IHCL SeleQtions",4.5,Excellent,2016,4,Connaught Place ,Connaught Place,980 m ,"7,499",,0,0,1,0,0,0
Hyatt Regency New Delhi,4.2,Very Good,1655,5,R.K. Puram ,T1 - Delhi Airport (IGI Airport),8.3 km ,"8,100","1,863",0,0,1,0,0,0
Hotel Samrat,3.2,Good,2214,4,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),9.8 km ,"4,278",874,0,0,1,0,0,0
New Delhi YMCA Tourist Hostel | Rooms & Wi-Fi,3.5,Very Good,1401,,Connaught Place ,Connaught Place,900 m ,"3,148",847,0,0,1,0,0,0
Golden Keys Inn,3.7,Very Good,752,3,North Delhi,,,"2,009",679,0,0,1,0,0,0
Ginger East Delhi,3.5,Very Good,3276,3,East Delhi,,,"1,839",,0,0,1,0,0,0
The Hans,3.6,Very Good,1397,4,Connaught Place ,Agrasen Ki Baoli,600 m ,"4,860",993,0,0,1,0,0,0
Shubham Vilas,4.2,Very Good,323,,Rajouri Garden,,,"1,876",665,0,0,1,0,0,0
Ramada By Wyndham New Delhi Pitampura,3.5,Very Good,1620,4,North Delhi,,,"4,437",906,0,0,1,0,0,0
Svelte Hotel & Personal Suites,3.6,Very Good,967,5,Saket,,,"8,333",,0,0,1,0,0,0
The Grand Uddhav,4.2,Very Good,1838,3,Paharganj ,New Delhi Railway Station,740 m ,"3,081",817,0,0,1,0,0,0
Hotel Chanakya Inn,3.4,Good,2603,3,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"1,836",513,0,0,1,0,0,0
Hotel Viva Palace @ Delhi Airport,3.9,Very Good,528,4,Mahipalpur ,Indira Gandhi International Airport,4.2 km ,"2,271",567,0,0,1,0,0,0
Hotel Hari Piorko,3.8,Very Good,5220,3,Paharganj ,New Delhi Railway Station,630 m ,"1,104",412,0,0,1,0,0,0
Hotel Southern,3.4,Good,2350,3,Karol bagh,,,"1,951",469,0,0,1,0,0,0
Hotel Delhi 37,4.3,Excellent,8326,3,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505,0,0,1,0,0,0
Red Fox Hotel East Delhi,3.6,Very Good,1069,3,East Delhi,,,"1,908",692,0,0,1,0,0,0
HOME@B11,2.3,Average,3,,East Of Kailash,,,"2,758",901,0,0,1,0,0,0
The Umrao,3.9,Very Good,2863,5,Samalka ,Indira Gandhi International Airport,6.5 km ,"5,000",,0,0,1,0,0,0
IIDL Suites,4.1,Very Good,1926,4,East Delhi,,,"4,900",,0,0,1,0,0,0
Four Points by Sheraton Delhi,4,Very Good,1662,4,Samalka ,Indira Gandhi International Airport,6.4 km ,"4,559",,0,0,1,0,0,0
"Deventure Sarovar Portico, Kapashera, New Delhi",3.9,Very Good,2681,4,Delhi ,Indira Gandhi International Airport,8.1 km ,"5,022","1,026",0,0,1,0,0,0
The Dream House BnB | Rooms & Caretaker,4.1,Very Good,41,,Safdarjung Enclave ,T1 - Delhi Airport (IGI Airport),9.4 km ,"2,542",684,0,0,1,0,0,0
"Park Inn by Radisson, IP Extension- New Delhi",3.8,Very Good,2618,4,East Delhi,,,"4,150",,0,0,1,0,0,0
The Claridges New Delhi,4.1,Very Good,1055,5,Motilal Nehru Marg Area ,India Gate,2.2 km ,"10,350","1,863",0,0,1,0,0,0
De Pavilion Hotel,3.6,Very Good,2047,4,Mahipalpur ,Indira Gandhi International Airport,4.6 km ,"3,164",646,0,0,1,0,0,0
Venizia Sarovar Portico,3.6,Very Good,563,4,North Delhi,,,"3,766",769,0,0,1,0,0,0
Centaur Hotel,2.5,Average,676,3,Delhi Airport ,Indira Gandhi International Airport,2.0 km ,"3,202",654,0,0,1,0,0,0
The Orion Plaza - Nehru Place,3.8,Very Good,1180,3,Near Nehru Place,,,"2,706",589,0,0,1,0,0,0
Dee Marks Hotel & Resort Delhi Airport,3.4,Good,1572,4,Mahipalpur ,Indira Gandhi International Airport,8.8 km ,"2,534",633,0,0,1,0,0,0
HOTEL LE SEASONS,3.6,Very Good,581,4,Mahipalpur ,Indira Gandhi International Airport,3.8 km ,"2,653",700,0,0,1,0,0,0
Caspia Hotel New Delhi Shalimar Bagh,3.4,Good,1725,3,North Delhi,,,"2,799",572,0,0,1,0,0,0
"Park Inn by Radisson, Lajpat Nagar",4.1,Very Good,1856,4,Andrews Ganj,,,"6,999",,0,0,1,0,0,0
Jukaso Inn Down Town,3.6,Very Good,1207,3,Connaught Place ,Connaught Place,700 m ,"3,134",682,0,0,1,0,0,0
Hotel LA New Delhi,3.6,Very Good,1764,4,Mangolpuri,,,"3,438",702,0,0,1,0,0,0
Kelvish Hotel Near Delhi Airport,3.9,Very Good,1337,3,Mahipalpur ,Indira Gandhi International Airport,5.4 km ,"1,869",481,0,0,1,0,0,0
Radisson Hyderabad Hitec City,3.7,Very Good,7994,5,Gachibowli,,,"4,500",,0,0,0,1,0,0
The Park Hyderabad,3.7,Very Good,11318,5,Somajiguda,,,"5,699","1,284",0,0,0,1,0,0
ITC Kohenur - A Luxury Collection Hotel,4.3,Excellent,2465,5,Hitech City,,,"16,150",,0,0,0,1,0,0
Fairfield by Marriott Hyderabad Gachibowli,3.9,Very Good,5006,4,Gachibowli,,,"4,004",818,0,0,0,1,0,0
Radisson Blu Plaza Hotel,4.1,Very Good,4632,5,Banjara Hills,,,"7,250",,0,0,0,1,0,0
Lemon Tree Hotel Gachibowli,4,Very Good,5372,4,Gachibowli,,,"4,183","1,518",0,0,0,1,0,0
Red Fox Hotel Hyderabad,3.9,Very Good,4338,3,Hitech City,,,"2,654","1,050",0,0,0,1,0,0
"Lemon Tree Hotel, Banjara Hills, Hyderabad",4.1,Very Good,2775,4,Banjara Hills,,,"2,571",933,0,0,0,1,0,0
"Taj Krishna, Hyderabad",4.5,Excellent,1580,5,Banjara Hills,,,"8,000",,0,0,0,1,0,0
Novotel Hyderabad Airport,3.9,Very Good,1278,5,Near Hyderabad Airport ,Rajiv Gandhi International Airport,3.6 km ,"12,999",,0,0,0,1,0,0
Rester Select Kukatpally,4,Very Good,263,3,Kukatpally,,,"2,463",674,0,0,0,1,0,0
The Golkonda Hotel,4.1,Very Good,3981,4,Masab Tank,,,"5,499",660,0,0,0,1,0,0
Trident Hyderabad,4.7,Excellent,1517,5,Hitech City,,,"14,250",,0,0,0,1,0,0
Ellaa Hotel Gachibowli,3.8,Very Good,4341,4,Gachibowli,,,"3,321",678,0,0,0,1,0,0
Lemon Tree Premier HITEC City Hyderabad,4,Very Good,5148,5,Hitech City,,,"3,151","1,246",0,0,0,1,0,0
Siri Inn Hospitality | Rooms in an Apartment,3.6,Very Good,681,,Hitech City,,,"1,287",373,0,0,0,1,0,0
ibis Hyderabad HITEC City - An Accor Brand,3.8,Very Good,1016,3,Hitech City,,,"4,499",,0,0,0,1,0,0
Hyatt Place Hyderabad Banjara Hills,4.1,Very Good,1695,5,Banjara Hills,,,"7,249",,0,0,0,1,0,0
"Vivanta Hyderabad, Begumpet",4.4,Excellent,2743,5,Begumpet,,,"6,500",,0,0,0,1,0,0
Zen Comfort,4,Very Good,300,,Gachibowli,,,"1,438",387,0,0,0,1,0,0
Hyderabad Marriott Hotel and Convention Centre,4.3,Excellent,1240,5,Kavadiguda,,,"6,500",,0,0,0,1,0,0
HOTEL SIGNATURE AIRPORT ZONE SHAMSHABAD,4.1,Very Good,2343,3,Shamshabad ,Rajiv Gandhi International Airport,8.5 km ,"2,217",571,0,0,0,1,0,0
Daspalla Hotel,4.1,Very Good,1948,4,Jubilee Hills,,,"5,413","1,386",0,0,0,1,0,0
Hotel OAK by Signature,4.2,Very Good,1722,3,Shamshabad ,Rajiv Gandhi International Airport,8.5 km ,"1,317",346,0,0,0,1,0,0
Aditya Park Hyderabad - A Sarovar Hotel,4,Very Good,2503,4,Ameerpet,,,"6,111","1,248",0,0,0,1,0,0
"Park Hyatt Hotel and Residences, Hyderabad",4.2,Very Good,874,5,Sri Nagar Colony,,,"10,000",,0,0,0,1,0,0
Marigold By Green Park,4.3,Excellent,2477,5,Ameerpet,,,"5,714","1,485",0,0,0,1,0,0
Hotel Hyderabad Grand,3.8,Very Good,1599,3,Shamshabad ,Rajiv Gandhi International Airport,7.6 km ,"3,028",756,0,0,0,1,0,0
Green Park,4.2,Very Good,1864,4,Ameerpet,,,"5,122","1,267",0,0,0,1,0,0
The Central Court,3.6,Very Good,3819,3,Lakdikapul,,,"2,041",566,0,0,0,1,0,0
Holiday Inn Express Hyderabad HITEC City,3.5,Very Good,1894,3,Hitech City,,,"4,499",,0,0,0,1,0,0
Slackpackr Hostel,4.1,Very Good,87,,Begumpet,,,849,237,0,0,0,1,0,0
Holiday Inn Express Hyderabad Banjara Hills,3.5,Very Good,2359,3,Punjagutta,,,"4,140",540,0,0,0,1,0,0
CITADEL Hotel By Vinnca,4.1,Very Good,949,3,Gaghan Pahad,,,"2,932",802,0,0,0,1,0,0
Aditya Hometel Hyderabad - A Sarovar Hotel,3.5,Very Good,2234,3,Ameerpet,,,"1,860",380,0,0,0,1,0,0
Hotel Deccan Serai Grande,4.4,Excellent,517,4,Gachibowli,,,"7,014","2,297",0,0,0,1,0,0
Katriya Hotel and Towers,2.8,Average,3250,3,Somajiguda,,,"3,761",451,0,0,0,1,0,0
Hotel Saptagiri Hyderabad,3.8,Very Good,2861,3,Shivaji Nagar ,Secunderabad Junction Railway Station ,760 m ,"2,724",614,0,0,0,1,0,0
Hampshire Plaza Hotel,3.8,Very Good,1680,3,Lakdikapul,,,"3,379",891,0,0,0,1,0,0
"Taj Deccan, Hyderabad",4.4,Excellent,2694,5,Banjara Hills,,,"6,990",,0,0,0,1,0,0
Avasa Hotel,4.2,Very Good,2073,5,Madhapur,,,"6,696","1,368",0,0,0,1,0,0
Hotel Akoya - HITECH City Hyderabad,4.1,Very Good,520,3,Hitech City,,,"2,471",681,0,0,0,1,0,0
MARIGOLD AT NEST,3.8,Very Good,93,2,Gachibowli,,,"1,346",307,0,0,0,1,0,0
HOTEL RAINTR33,3.8,Very Good,1012,3,Hitech City,,,"2,011",550,0,0,0,1,0,0
Urban Nest Luxury Rooms,3.9,Very Good,206,,Kokapet,,,"1,046",357,0,0,0,1,0,0
Novotel Hyderabad Convention Centre,4.2,Very Good,2033,5,Hitech City,,,"10,500",,0,0,0,1,0,0
Hotel B Plus L,4,Very Good,866,4,Hitech City,,,"3,360",795,0,0,0,1,0,0
La Hometel Hotel - HITECH City Hyderabad,3.9,Very Good,236,3,Hitech City,,,"1,435",387,0,0,0,1,0,0
Le Meridien Hyderabad,4.3,Excellent,1059,5,Gachibowli,,,"10,500",,0,0,0,1,0,0
Restel Studio Flats,4.2,Very Good,262,,Borabanda,,,"1,801",504,0,0,0,1,0,0
The Conclave,3.2,Good,958,3,Gachibowli,,,"1,613",497,0,0,0,1,0,0
The Landmark Banjara Hills,4,Very Good,613,3,Banjara Hills,,,"1,696",437,0,0,0,1,0,0
THE CENT,3.3,Good,1544,3,Lakdikapul,,,"1,662",389,0,0,0,1,0,0
Courtyard by Marriott Hyderabad,4.5,Excellent,981,4,Kavadiguda,,,"6,000",,0,0,0,1,0,0
The Wilderness Retreat | Rooms & Restaurant,3.9,Very Good,220,,Gandipet,,,"7,346","2,197",0,0,0,1,0,0
The Altruist Business Hotel (Hitech),3.7,Very Good,1888,4,Shilpa Hills,,,"4,278","1,028",0,0,0,1,0,0
Istay Hotels Hitec,3.7,Very Good,1236,3,Kondapur,,,"2,913",613,0,0,0,1,0,0
Hyatt Hyderabad Gachibowli,4.1,Very Good,864,5,Gachibowli,,,"8,750",,0,0,0,1,0,0
The Art Boutique Hotel,3.8,Very Good,1515,3,Gachibowli,,,"2,197",677,0,0,0,1,0,0
Hotel Imperial Classic,3.9,Very Good,2183,3,Himayat Nagar,,,"1,068",315,0,0,0,1,0,0
Mercure Hyderabad KCP - An AccorHotels brand,4.2,Very Good,773,4,Punjagutta,,,"5,000",,0,0,0,1,0,0
Veeraj Suites,4,Very Good,435,3,Rai Durg,,,"2,170",599,0,0,0,1,0,0
Bloom Hotel - Gachibowli,4.1,Very Good,181,3,Gachibowli,,,"4,500",,0,0,0,1,0,0
Oakwood Residence Kapil Hyderabad,4.5,Excellent,957,,Gachibowli,,,"7,500",,0,0,0,1,0,0
Aalankrita Resort & Convention,4.1,Very Good,3109,4,Secunderabad ,city centre,26.5 km ,"4,484",916,0,0,0,1,0,0
Minerva Grand- Kondapur,3.9,Very Good,1019,3,Kothaguda,,,"4,371",893,0,0,0,1,0,0
M SQUARE HOTEL,3.9,Very Good,263,3,Hitech City,,,"4,395",898,0,0,0,1,0,0
Sri Sri Suites,3.4,Good,152,,Madhapur,,,"1,208",330,0,0,0,1,0,0
The Manohar,2.7,Average,258,3,Begumpet,,,"3,158",645,0,0,0,1,0,0
The Lime Boutique Suites,4.1,Very Good,1434,3,Gachibowli,,,"2,976",608,0,0,0,1,0,0
Taj Tristar,3.9,Very Good,992,3,Secunderabad ,city centre,7.7 km ,"2,271",494,0,0,0,1,0,0
Minerva Grand - Banjara,4,Very Good,1453,3,Banjara Hills,,,"4,464",912,0,0,0,1,0,0
Sheraton Hyderabad,4.3,Excellent,769,5,Gachibowli,,,"1,25,000",,0,0,0,1,0,0
ITC Kakatiya - A Luxury Collection Hotel,4.2,Very Good,1071,5,Begumpet,,,"9,690",,0,0,0,1,0,0
Bikanervala Boutique Hotel,4.1,Very Good,1037,3,Banjara Hills,,,"3,488",713,0,0,0,1,0,0
The Park Kolkata,3.9,Very Good,7647,5,New Market Area ,Park Street,210 m ,"4,207",886,0,0,0,0,1,0
"Zone By The Park, Kolkata",3.8,Very Good,8656,5,New Town,,,"3,915",926,0,0,0,0,1,0
JW Marriott Hotel Kolkata,4.4,Excellent,1527,5,Tangra,,,"7,800",,0,0,0,0,1,0
ibis Kolkata Rajarhat - An Accor Brand,3.9,Very Good,2355,4,New Town,,,"2,220",,0,0,0,0,1,0
The Lalit Great Eastern Kolkata,4.2,Very Good,2486,5,Bow Barracks ,Eden Gardens,970 m ,"6,365",764,0,0,0,0,1,0
ITC Royal Bengal - A Luxury Collection Hotel,4.5,Excellent,3849,5,Tangra,,,"8,925",,0,0,0,0,1,0
"Lemon Tree Premier, New Town, Kolkata",4.2,Very Good,3026,5,New Town,,,"2,156",782,0,0,0,0,1,0
Novotel Kolkata Hotel and Residences,4.1,Very Good,2827,5,New Town,,,"5,060",,0,0,0,0,1,0
All Fresco Hotel,3.7,Very Good,688,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,5.6 km ,"1,637",483,0,0,0,0,1,0
Regenta Orko's Kolkata,3.9,Very Good,2055,4,Kasba ,Acropolis Mall,680 m ,"3,321",449,0,0,0,0,1,0
"Holiday Inn Express, Kolkata Airport",4.1,Very Good,1655,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.7 km ,"4,099",,0,0,0,0,1,0
Himalayan Inn Guest House - Near TCS Gitobitan,3.3,Good,534,,Salt Lake City,,,724,257,0,0,0,0,1,0
Holiday Inn Kolkata Airport,4.1,Very Good,2486,5,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.7 km ,"4,600",,0,0,0,0,1,0
"Taj City Centre New Town, Kolkata",4.4,Excellent,1556,5,Rajarhat ,Netaji Subhash Chandra Bose International Airport,5.8 km ,"5,650",,0,0,0,0,1,0
"Vivanta Kolkata, EM Bypass",4.4,Excellent,2031,5,East Kolkata Township,,,"5,500",,0,0,0,0,1,0
Hyatt Regency Kolkata,4.2,Very Good,1426,5,Salt Lake City ,Salt Lake Stadium,740 m ,"5,780",694,0,0,0,0,1,0
Bandhan Residency,3.7,Very Good,460,,Kaikhali ,Netaji Subhash Chandra Bose International Airport,3.0 km ,"1,102",350,0,0,0,0,1,0
The Oberoi Grand,4.7,Excellent,1268,5,New Market Area ,Park Street,930 m ,"8,000",,0,0,0,0,1,0
"Fairfield by Marriott, Kolkata",4.1,Very Good,2332,4,New Town,,,"2,499",,0,0,0,0,1,0
Ethnotel,4,Very Good,3211,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.7 km ,"2,949",621,0,0,0,0,1,0
Backpackers Park Hostel @ParkStreet,3.8,Very Good,417,,New Market Area ,Park Street,150 m ,893,209,0,0,0,0,1,0
THE WESTIN KOLKATA RAJARHAT,4.4,Excellent,2067,5,New Town ,Netaji Subhash Chandra Bose International Airport,9.3 km ,"5,699",,0,0,0,0,1,0
"Taj Bengal, Kolkata",4.6,Excellent,1165,5,Alipore,,,"8,000",,0,0,0,0,1,0
Hotel Senses,3.9,Very Good,1943,4,Salt Lake City ,Salt Lake Sec V,900 m ,"3,716","1,016",0,0,0,0,1,0
ITC Sonar - A Luxury Collection Hotel,4.4,Excellent,2325,5,Tangra,,,"7,225",,0,0,0,0,1,0
Kenilworth Hotel,4.3,Excellent,669,4,Park Street Area,,,"6,054",727,0,0,0,0,1,0
The Peerless Inn,3.9,Very Good,3539,4,Near Howrah Train Station ,Eden Gardens,770 m ,"4,186",855,0,0,0,0,1,0
De Sovrani,3.9,Very Good,1260,4,Salt Lake City,,,"2,916",690,0,0,0,0,1,0
"Pride Plaza Hotel, Kolkata",3.9,Very Good,1861,5,New Town,,,"2,800",336,0,0,0,0,1,0
"City Central Hostel, Kolkata",4.6,Excellent,77,,Kolkata ,Dharamtala Market,980 m ,736,198,0,0,0,0,1,0
Siamton Inn - A Cygnett Collection,4,Very Good,2312,4,Park Street ,Park Street,10 m ,"2,790",677,0,0,0,0,1,0
Hotel Aauris,4.1,Very Good,1658,4,Park Street ,Park Street,430 m ,"4,650",950,0,0,0,0,1,0
